epoch,train_nll,val_nll
1,-0.207241040084521,-0.3909654618764432
2,-0.36754550181007384,-0.4129775393116492
3,-0.37234856759262086,-0.29909331235196857
4,-0.37727895713361104,-0.36239434924803554
5,-0.38118802652486167,-0.4351313672401124
6,-0.38624956893666584,-0.424015222464869
7,-0.38709612471961974,-0.3341210491961603
8,-0.39016429335975644,-0.362873130501527
9,-0.3927415605506897,-0.43126897634608413
10,-0.393983019323349,-0.40955768015195687
11,-0.39567371770032245,-0.3432927971428888
12,-0.3968614781888326,-0.36920162684653496
13,-0.3984467233695984,-0.4432656834443548
14,-0.400166855149587,-0.4289730825253881
15,-0.40070609990374245,-0.3607348561199217
16,-0.4015137161502838,-0.38563169916575574
17,-0.40323357337824506,-0.435599491097979
18,-0.4037517888577779,-0.4124212255867144
19,-0.4052471259950002,-0.3712230837101194
20,-0.40589403833961485,-0.3766455453291326
