epoch,train_nll,val_nll
1,-0.25107515925598145,-0.7097640426113242
2,-0.6568148537076314,-0.6582234263406596
3,-0.6742846341883342,-0.7146250632566775
4,-0.700171977801005,-0.7558939645869932
5,-0.7198097972958882,-0.7141352814559465
6,-0.7435523218752543,-0.7577137166133868
7,-0.753513846118927,-0.7583682213641538
8,-0.7546752785657247,-0.759116934386434
9,-0.7549349910608928,-0.7577643795936774
10,-0.7552467775103251,-0.7587002086585374
11,-0.7552280138664246,-0.7597639063085861
12,-0.755517045387268,-0.7588074567592652
13,-0.7554724797948201,-0.7585332449088822
14,-0.7557049275856018,-0.7600070248760492
15,-0.7550295823949178,-0.7599004372716579
16,-0.7556877208544414,-0.7583393171384925
17,-0.7558507764167786,-0.75987182910749
18,-0.7557325074526469,-0.7564257079219299
19,-0.7556407704200745,-0.7590713940844936
20,-0.7558642085660299,-0.7597092379092616
